ts_utc,game,market_type,market_key,line,side_a,venue_a,price_a,side_b,venue_b,price_b,implied_cost,roi_pct,net_edge_pct,arb_survived,would_trade,exec_status,confidence,note
2026-07-09T00:03:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:03:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:03:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:03:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:03:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:03:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:03:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:03:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:04:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:04:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:04:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:04:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:04:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:04:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:04:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:04:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:04:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:04:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:04:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:04:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:05:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:05:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:05:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:05:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:05:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:05:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:05:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:05:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:05:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:05:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:05:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:05:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:06:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:06:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:06:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:06:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:06:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:06:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:06:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:06:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:06:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:06:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:06:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:06:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:07:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:07:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:07:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:07:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:07:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:07:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:07:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:07:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:07:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:07:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:07:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:07:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:08:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:08:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:08:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:08:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:08:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:08:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:08:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:08:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:08:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:08:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:08:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:08:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:09:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:09:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:09:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:09:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:09:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:09:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:09:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:09:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:09:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:09:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:09:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:09:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:10:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:10:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:10:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:10:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:10:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:10:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:10:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:10:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:10:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:10:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:10:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:10:44Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:11:04Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:11:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:11:04Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:11:04Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:11:24Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:11:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:11:24Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:11:24Z,26JUL10ESPBEL,spread,spread|1.5|spain,1.5,cover,polymarket,0.34,plus,kalshi,0.66,1.0,0.0,-1.5748,False,False,dryrun,high,computed
2026-07-09T00:11:44Z,26JUL10ESPBEL,team_total,team_total|spain|1.5,1.5,over,polymarket,0.57,under,kalshi,0.42,0.99,1.0101,-0.7937,False,False,dryrun,high,computed
2026-07-09T00:11:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.038,plus,kalshi,0.96,0.998,0.2004,-0.0999,False,False,dryrun,high,computed
2026-07-09T00:11:44Z,26JUL10ESPBEL,1h_total,1h_total|2.5,2.5,over,polymarket,0.12,under,kalshi,0.88,1.0,0.0,-0.7937,False,False,dryrun,high,computed
